SITE_NAME,ADDRESS,POSTCODE,SECTOR,SUB_TYPE,RELIGION,NURSERY,ANNEXE,COMM_ED_AR,CF_AREA,WARD_NAME,WARD_NO,SIP_AREA,LDC_AREA,SEED_NO,TELEPHONE,FAX_NUMBER,WEBSITE,X_COORD,Y_COORD
Abbeyhill Primary School,"Abbey Street, Edinburgh",Eh7 5Sj,Primary,Nd Primary,Nd,Yes,,,North,City Centre,11.0,,East,5520924.0,661 3054,478 7067,Www.Abbeyhill.Edin.Sch.Uk,327073,674330
Balgreen Primary School,"171 Balgreen Road, Edinburgh",Eh11 3At,Primary,Nd Primary,Nd,Yes,,,West,Sighthill/Gorgie,7.0,,Central,5521025.0,337 6066,476 7220,Www.Balgreen.Edin.Sch.Uk,322130,672300
